Notes	Month	Month Code	Residence State	Residence State Code	Deaths	Population	Crude Rate
	"Jan., 2018"	2018/01	Alabama	1	56	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Alaska	2	11	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Arizona	4	142	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Arkansas	5	36	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	California	6	479	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Colorado	8	102	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Connecticut	9	67	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Delaware	10	27	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	District of Columbia	11	17	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Florida	12	418	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Georgia	13	99	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Hawaii	15	17	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Idaho	16	15	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Illinois	17	242	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Indiana	18	139	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Iowa	19	26	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Kansas	20	30	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Kentucky	21	110	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Louisiana	22	100	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Maine	23	27	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Maryland	24	207	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Massachusetts	25	210	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Michigan	26	241	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Minnesota	27	48	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Mississippi	28	24	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Missouri	29	123	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Montana	30	12	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Nevada	32	53	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	New Hampshire	33	28	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	New Jersey	34	234	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	New Mexico	35	41	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	New York	36	379	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	North Carolina	37	197	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	North Dakota	38	10	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Ohio	39	298	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Oklahoma	40	73	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Oregon	41	56	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Pennsylvania	42	351	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Rhode Island	44	20	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	South Carolina	45	95	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Tennessee	47	135	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Texas	48	245	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Utah	49	51	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Vermont	50	11	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Virginia	51	99	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Washington	53	93	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	West Virginia	54	61	Not Applicable	Not Applicable
	"Jan., 2018"	2018/01	Wisconsin	55	85	Not Applicable	Not Applicable
Total	"Jan., 2018"	2018/01			5659	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Alabama	1	79	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Arizona	4	103	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Arkansas	5	20	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	California	6	408	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Colorado	8	79	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Connecticut	9	88	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Delaware	10	29	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	District of Columbia	11	13	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Florida	12	358	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Georgia	13	100	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Hawaii	15	19	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Idaho	16	21	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Illinois	17	208	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Indiana	18	126	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Iowa	19	26	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Kansas	20	24	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Kentucky	21	119	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Louisiana	22	98	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Maine	23	27	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Maryland	24	223	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Massachusetts	25	171	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Michigan	26	224	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Minnesota	27	59	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Mississippi	28	32	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Missouri	29	118	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Montana	30	12	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Nebraska	31	13	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Nevada	32	52	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	New Hampshire	33	39	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	New Jersey	34	196	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	New Mexico	35	34	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	New York	36	269	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	North Carolina	37	163	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Ohio	39	315	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Oklahoma	40	57	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Oregon	41	37	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Pennsylvania	42	300	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Rhode Island	44	19	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	South Carolina	45	88	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Tennessee	47	159	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Texas	48	255	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Utah	49	57	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Vermont	50	12	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Virginia	51	116	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	Washington	53	97	Not Applicable	Not Applicable
	"Feb., 2018"	2018/02	West Virginia	54	72	Not Applicable	Not Applicable
