Notes	Month	Month Code	Residence State	Residence State Code	Deaths	Population	Crude Rate
	"Jan., 2019"	2019/01	Alabama	1	41	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Alaska	2	13	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Arizona	4	136	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Arkansas	5	44	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	California	6	485	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Colorado	8	85	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Connecticut	9	82	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Delaware	10	33	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	District of Columbia	11	21	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Florida	12	412	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Georgia	13	120	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Hawaii	15	28	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Idaho	16	20	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Illinois	17	193	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Indiana	18	119	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Iowa	19	30	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Kansas	20	38	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Kentucky	21	111	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Louisiana	22	95	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Maine	23	17	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Maryland	24	222	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Massachusetts	25	184	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Michigan	26	182	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Minnesota	27	73	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Mississippi	28	27	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Missouri	29	156	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Montana	30	15	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Nebraska	31	14	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Nevada	32	65	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	New Hampshire	33	31	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	New Jersey	34	188	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	New Mexico	35	29	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	New York	36	267	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	North Carolina	37	180	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Ohio	39	331	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Oklahoma	40	45	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Oregon	41	50	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Pennsylvania	42	345	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Rhode Island	44	30	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	South Carolina	45	90	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Tennessee	47	174	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Texas	48	233	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Utah	49	54	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Vermont	50	13	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Virginia	51	128	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Washington	53	109	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	West Virginia	54	62	Not Applicable	Not Applicable
	"Jan., 2019"	2019/01	Wisconsin	55	85	Not Applicable	Not Applicable
Total	"Jan., 2019"	2019/01			5519	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Alabama	1	56	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Alaska	2	18	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Arizona	4	121	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Arkansas	5	31	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	California	6	457	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Colorado	8	81	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Connecticut	9	79	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Delaware	10	26	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	District of Columbia	11	24	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Florida	12	369	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Georgia	13	105	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Hawaii	15	22	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Idaho	16	29	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Illinois	17	178	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Indiana	18	123	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Iowa	19	25	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Kansas	20	39	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Kentucky	21	106	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Louisiana	22	90	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Maine	23	29	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Maryland	24	182	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Massachusetts	25	163	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Michigan	26	180	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Minnesota	27	56	Not Applicable	Not Applicable
	"Feb., 2019"	2019/02	Mississippi	28	22	Not Applicable	Not Applicable
