Notes	Month	Month Code	Residence State	Residence State Code	Deaths	Population	Crude Rate
	"Jan., 2020"	2020/01	Alabama	1	57	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Alaska	2	16	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Arizona	4	185	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Arkansas	5	49	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	California	6	589	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Colorado	8	112	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Connecticut	9	116	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Delaware	10	35	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	District of Columbia	11	39	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Florida	12	523	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Georgia	13	123	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Hawaii	15	16	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Idaho	16	19	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Illinois	17	268	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Indiana	18	168	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Iowa	19	23	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Kansas	20	46	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Kentucky	21	121	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Louisiana	22	116	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Maine	23	44	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Maryland	24	192	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Massachusetts	25	157	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Michigan	26	184	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Minnesota	27	70	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Mississippi	28	35	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Missouri	29	140	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Montana	30	14	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Nebraska	31	14	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Nevada	32	50	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	New Hampshire	33	33	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	New Jersey	34	255	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	New Mexico	35	52	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	New York	36	354	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	North Carolina	37	220	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Ohio	39	353	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Oklahoma	40	41	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Oregon	41	57	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Pennsylvania	42	390	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Rhode Island	44	35	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	South Carolina	45	115	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Tennessee	47	198	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Texas	48	300	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Utah	49	48	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Vermont	50	13	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Virginia	51	161	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Washington	53	126	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	West Virginia	54	82	Not Applicable	Not Applicable
	"Jan., 2020"	2020/01	Wisconsin	55	113	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Alabama	1	71	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Alaska	2	11	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Arizona	4	153	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Arkansas	5	39	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	California	6	589	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Colorado	8	95	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Connecticut	9	93	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Delaware	10	43	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	District of Columbia	11	37	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Florida	12	510	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Georgia	13	140	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Hawaii	15	15	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Idaho	16	25	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Illinois	17	276	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Indiana	18	161	Not Applicable	Not Applicable
	"Feb., 2020"	2020/02	Iowa	19	41	Not Applicable	Not Applicable
